# id	prompt_file	continuation_file	response_file
case_053	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_053.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_053.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_053.json
case_056	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_056.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_056.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_056.json
case_058	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_058.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_058.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_058.json
case_027	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_027.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_027.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_027.json
case_065	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_065.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_065.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_065.json
case_032	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_032.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_032.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_032.json
case_079	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_079.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_079.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_079.json
case_001	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_001.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_001.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_001.json
case_031	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_031.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_031.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_031.json
case_076	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_076.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_076.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_076.json
case_000	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_000.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_000.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_000.json
case_036	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_036.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_036.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_036.json
case_020	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_020.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_020.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_020.json
case_045	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_045.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_045.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_045.json
case_016	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_016.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_016.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_016.json
case_004	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_004.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_004.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_004.json
case_071	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_071.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_071.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_071.json
case_073	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_073.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_073.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_073.json
case_095	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_095.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_095.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_095.json
case_099	gguf-tools/quality-testing/data/glm52-openrouter-100/prompts/case_099.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/continuations/case_099.txt	gguf-tools/quality-testing/data/glm52-openrouter-100/responses/case_099.json
